EUR,GBP,AUD,NZD,USD,CAD,CHF,NOK,SEK,JPY
2001-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-17,0,0,0,0,0,0,0,0,0,0
2002-06-18,0,0,0,0,0,0,0,0,0,0
2002-06-19,0,0,0,0,0,0,0,0,0,0
2002-06-20,0,0,0,0,0,0,0,0,0,0
2002-06-21,0,0,0,0,0,0,0,0,0,0
2002-06-24,0,0,0,0,0,0,0,0,0,0
2002-06-25,0,0,0,0,0,0,0,0,0,0
2002-06-26,0,0,0,0,0,0,0,0,0,0
2002-06-27,0,0,0,0,0,0,0,0,0,0
2002-06-28,0,0,0,0,0,0,0,0,0,0
2002-07-01,2.2,-2.3,-0.3,2.8,-2.9,-0.7,-9.1,5.6,0.7,4
2002-07-02,-3.7,3,-8,0.9,2.3,-0.9,3.1,7.4,-1.1,-3
2002-07-03,5.4,1.4,-6,-5,-3.1,-1.8,-3.7,9.9,0.9,2
2002-07-04,3.2,-5,0.0999999999999996,6.9,-7.3,-0.8,5.5,3.1,2.7,-8.4
2002-07-05,2.9,1.3,9,-6.2,-6.8,-2.6,5.6,0.8,3.1,-7.1
2002-07-08,-7.8,-5.1,3,6,6.9,3.4,-1.4,1.1,0.7,-6.8
2002-07-09,-5.3,-4.6,7.3,1.1,2.6,-1.3,7.6,1.3,-5.8,-2.9
2002-07-10,-2.6,0.5,-10.2,6.2,7,-1,-7.3,5.9,3,-1.5
2002-07-11,-4.9,0.8,-8.2,1.9,4.8,1,-4.8,3.6,-3.3,9.1
2002-07-12,-3.4,-5.9,-0.8,5,1.3,0.6,4.8,2.7,-1.4,-2.9
2002-07-15,-4.2,-0.2,-10.2,1.2,9,2.7,-2.8,5.4,-5.5,4.6
2002-07-16,6,-8.5,6.1,3.2,-5.3,1.2,-0.0999999999999999,3.5,1.2,-7.3
2002-07-17,-3.7,-1.3,7.7,5.1,-4.9,-2.4,-9.2,4.8,5.2,-1.3
2002-07-18,-0.9,-3.7,-1,1.6,-2.8,-2.9,-3,9.2,-1.2,4.7
2002-07-19,0.3,0.8,-7.7,-0.7,7.6,-0.8,-9.1,2.9,-0.9,7.6
2002-07-22,-4.9,1.3,-9.4,2.3,1.8,0.9,-4.6,7,0.4,5.2
2002-07-23,-2.8,-2.9,7.4,5.3,-9.8,-2.4,3.7,0.1,-1.8,3.2
2002-07-24,-1.2,-2.4,-7.2,5.3,5.2,2.2,-6.1,-1,-2.6,7.8
2002-07-25,1.7,-5,6.8,7.2,-4.1,-2.9,5.8,3.1,-2.9,-9.7
2002-07-26,5.1,0.5,-6.2,0.3,-3.2,-2.8,-6.1,4.9,-0.3,7.8
2002-07-29,5.6,2.5,1,-2.9,-7.1,-1.1,6.9,-2.2,4.9,-7.6
2002-07-30,4.8,-8.8,0.8,9.1,1.1,-2.6,-3.2,1.6,3,-5.8
2002-07-31,-2.7,-2.8,3.3,5,1.6,2.3,-6.5,2.3,0.8,-3.3
2002-08-01,-2.9,-1.4,-4.2,0.4,4.8,-1.3,-8.3,4.1,1.1,7.7
2002-08-02,-6.6,-0.9,-2.8,0.6,6.5,0.3,-6.2,4.3,-2.9,7.7
2002-08-05,-4.2,-2.3,2.8,4.4,2.2,-3.4,1.7,5.3,-2.7,-3.8
2002-08-06,4.6,1.1,-6.1,-2.7,-6.8,-4.8,8.7,3.3,5.9,-3.2
2002-08-07,-4.9,-0.9,-1.3,6.2,8.9,-2.9,-2.6,0.5,-0.5,-2.5
2002-08-08,4.9,1.2,-4.2,-4.8,-5.2,-3.1,7.3,6.6,3.3,-6
2002-08-09,-1.1,-0.7,6.8,4.9,-1.2,-3,2.3,2.9,-1.3,-9.6
2002-08-12,-1.5,-1,4.8,3.6,3,3.9,-4.6,2.7,-1.5,-9.4
2002-08-13,-5.2,-4.4,3,4.6,-5.6,0.8,1.2,3.1,-0.5,3
2002-08-14,-0.8,4.7,-9,-0.6,2.7,5.7,-5.1,5.1,1,-3.7
2002-08-15,3.4,-0.9,7.1,-1,-7.5,-5.7,10.1,-1.1,4.9,-9.3
2002-08-16,3.4,-2,-0.8,1.6,-3.5,-1.4,9.7,1.1,1.5,-9.6
2002-08-19,3.6,-3.3,4.6,-1,-5.5,-1.4,5.3,3.8,3.6,-9.7
2002-08-20,-3.6,2.1,-3.4,-1.5,3.1,-0.5,-2,3,-3.1,5.9
2002-08-21,3.1,-0.8,3.6,-2.5,-7.3,-5.9,7.2,5.7,4.9,-8
2002-08-22,1,-5.5,5.1,-0.3,-7.1,-2.7,4.9,5.3,4.8,-5.5
2002-08-23,-5.4,-3.6,-1.4,6.8,5,1.6,-8.4,5.1,-1.1,1.4
2002-08-26,5.7,2.6,-7.3,-0.5,-0.0999999999999998,-1.2,-6.3,3.5,2.5,1.1
2002-08-27,1.4,-3.2,-3.1,6.8,0.9,7,-4,-0.8,3.1,-8.1
2002-08-28,-5.4,-2.8,5.5,6.6,-0.2,-3.4,-8.1,4.5,-0.7,4
2002-08-29,-3.5,-0.2,3.8,4.3,0.5,-1.1,-2,4.4,-2.7,-3.5
2002-08-30,-1.1,4.2,-6.5,-0.7,-6.8,-3.7,-2.7,8.8,4.7,3.8
2002-09-02,-8.7,-4,7.3,4.6,-1,-1.8,-4.9,2.7,1,4.8
2002-09-03,-4.3,0.1,-8.2,4.6,6.2,-2,-6.4,2.2,0.8,7
2002-09-04,0.8,-2.1,-5,-1.6,-2.9,-1.1,-4.6,8.7,2.7,5.1
2002-09-05,-4.7,-0.9,2.8,7,-3.4,4.5,-4.6,5.5,-5.3,-0.9
2002-09-06,2.2,0.4,-6.8,-2.5,-5.3,1.8,8.6,3.2,3,-4.6
2002-09-09,1.4,-4.9,6.6,8.7,-8.9,-3.5,1,3.3,0.9,-4.6
2002-09-10,2.4,-2.9,7.2,-0.5,-6.5,-2.8,6.3,0.9,5.4,-9.5
2002-09-11,3.5,0.3,-7.4,1.7,-5,0.2,4.5,2.6,0.6,-1
2002-09-12,-7.9,-2.5,7.4,4.7,3.5,0.4,-8.3,1.2,-1.3,2.8
2002-09-13,1.6,-2.5,-6,1.3,-5.1,-1.3,2.9,5.3,-3.5,7.3
2002-09-16,-7.6,5,-7.5,2.9,-2.4,-3.8,-0.3,9.5,-2.7,6.9
2002-09-17,-2.8,-5.5,5.5,9.3,-8.5,-7.9,2.2,5.5,3.9,-1.7
2002-09-18,-3.2,-5.3,-9.4,2.7,7.2,3.8,-3,0.8,-1.1,7.5
2002-09-19,3.4,-3.1,-4.9,1.2,4.6,-0.3,8.8,-1.1,-1.1,-7.5
2002-09-20,3.7,-5.4,-3.5,-0.6,-7,-7.1,6.6,5.3,0.6,7.4
2002-09-23,-4,2.9,-9.4,0.7,1.2,3.5,-6.6,3.1,-0.6,9.2
2002-09-24,-4,-5,2.7,7,-1.1,1.7,2.3,3.4,-0.3,-6.7
2002-09-25,7,-2.9,-0.2,-0.7,-6.8,0.7,5.2,1.1,2.7,-6.1
2002-09-26,0.8,-7,2,6.6,-2.4,-5.1,4.4,5.5,3.4,-8.2
2002-09-27,-3.2,-3,-4.7,6.7,2.4,-0.6,-0.6,4.8,-2.7,0.9
2002-09-30,-2.6,-1.2,-6.4,0.7,8.8,3.1,-9,4.8,-1.1,2.9
2002-10-01,7.1,0.8,-3.9,0.9,-6.5,1.3,9.3,1,-1.7,-8.3
2002-10-02,2.6,0.9,7,1.3,-6.1,-2.9,6.4,3,-3.5,-8.7
2002-10-03,-0.9,0.6,-9,-3.4,0.9,-3.4,-2.4,9.5,5.1,3
2002-10-04,-3.8,4.3,-1.2,2.22044604925031e-16,-6.8,1.4,2.8,5.3,0.7,-2.7
2002-10-07,1,-3.6,-4.7,0.1,1.1,0.6,1.3,-2.8,-2.1,9.1
2002-10-08,0.3,0.8,-6.5,0.7,-2.9,-4,6.8,5.5,4.4,-5.1
2002-10-09,-7.4,1.3,3.2,6.8,-1.2,4,-4.9,7,-3.5,-5.3
2002-10-10,7.8,2.2,-4.4,-2.7,-5.8,-3.8,7.3,5.7,-0.4,-5.9
2002-10-11,5.8,0.3,3.5,-2.1,-5.6,-3.4,9.3,-1,3,-9.8
2002-10-14,-2.6,-7.2,2.6,4.1,1.1,-0.5,-9.6,5.8,5.2,1.1
2002-10-15,5.8,-0.9,5,-0.8,-7.6,-1.5,9.7,-0.9,1.6,-10.4
2002-10-16,1.1,-1.2,-2.8,-0.7,3.2,1.7,-6.2,5.2,4.3,-4.6
2002-10-17,-3.5,-5.2,6.8,2.6,-3.2,-4.9,6.6,3.5,0.5,-3.2
2002-10-18,1.1,-7.6,-5.1,5.2,-5.7,-2.9,6,5,-1.5,5.5
2002-10-21,7.9,5.9,-4.6,-3.8,-3.9,-3.2,5.4,2.7,-2.5,-3.9
2002-10-22,-3.6,-5.6,-9.4,7.1,-0.9,-0.6,-3.4,5.6,9,1.8
2002-10-23,-7.7,-6.1,7.3,3,6.1,-2.6,-5.4,5.1,0.6,-0.3
2002-10-24,5.7,2.1,-7.7,-7.5,-8.1,2.8,10.4,4.9,0.9,-3.5
2002-10-25,-1.8,-5.9,-0.9,5.9,1.2,-0.3,-4.5,2,0.9,3.4
2002-10-28,-4,-1.3,-10.1,6.1,7.9,-2.7,-8.2,3.5,0.8,8
2002-10-29,-5.9,-1.3,8.1,5.7,0.3,1.6,-9.5,4.7,-5.4,1.7
